"","order","famiily","spp","mass.female","gestation.month","lecatation.months","mass.litter","repro.output","dev.stage.at.birth","diet","arid","biome","N","lactation.stage.orig","dry.matter","fat","protein","suger","energy","ref"
"1","Artiodactyla","Bovidae","Bos frontalis",8e+05,"9.02","4.5","26949",0.03,3,"herbivore","no","terrestrial","4+","","20","7","6.3","5.2","1.21","Oftedal & Iverson (1995)"
"3","Artiodactyla","Bovidae","Capra ibex",53000,"5.6","7.5","3489",0.07,3,"herbivore","no","terrestrial","24","30-60","23.3","12.4","5.7","-","-","Oftedal & Iverson (1995)"
"5","Artiodactyla","Bovidae","Connocheates taurinus taurinus",170500,"8.32","8","17717",0.1,3,"herbivore","yes","terrestrial","5","150","13.4","7.5","4.1","5.3","1.13","Osthoff, Hugo & de Wit (2009a)"
"7","Artiodactyla","Bovidae","Connocheates gnou",2e+05,"8.5","7.5","11110",0.06,3,"herbivore","yes","terrestrial","3","150","12","5.5","4.3","4.1","0.91","Osthoff, Hugo & de Wit (2009a)"
"9","Artiodactyla","Bovidae","Damaliscus pygargus phillipsi",61000,"8 C","4C","6500SS,C",0.11,3,"herbivore","yes","terrestrial","4","150","16","8.6","5.6","4.9","1.31","Osthoff, Hugo & de Wit (2009a)"
"11","Artiodactyla","Bovidae","Gazella dorcas",20600,"4.74","2.8V","1771V",0.09,3,"herbivore","yes","terrestrial","16","30-60","24.1","8.8","8.8","-","-","Oftedal & Iverson (1995)"
"13","Artiodactyla","Bovidae","Hemitragus jemlahicus",60000,"6","5","2060",0.03,3,"herbivore","no","terrestrial","9","60?","-","7.9","5.4","3.1","1.16","Oftedal & Iverson (1995)"
"15","Artiodactyla","Bovidae","Hippotragus niger",181000,"8.87","7","15447",0.09,3,"herbivore","yes","terrestrial","8-Jun","~30-107","17.9","5.0,","6.2","5.3,","1.03","Oftedal & Iverson (1995)"
"17","Artiodactyla","Bovidae","Oreamnos americanus",70000,"5.78","2.7","4193",0.06,3,"herbivore","no"," terrestrial","28","14-35","18","7","6.5","4.5","1.2","Oftedal & Iverson (1995)"
"19","Artiodactyla","Bovidae","Ovibus moschatus",196000,"8.48","6.2","11188",0.06,3,"herbivore","no","terrestrial","6","~100","28.5","14.3","8.7*","3.6","1.95","Oftedal & Iverson (1995)"
"21","Artiodactyla","Bovidae","Ovis dalli",48400,"5.62","4.3","4130",0.09,3,"herbivore","no","terrestrial","4","21-42","22.9","9.5","7.2","5.3","1.5","Oftedal & Iverson (1995)"
"23","Artiodactyla","Bovidae","Syncerus caffer",534000,"11.03","9.2","46292",0.09,3,"herbivore","no","terrestrial","5","42-270","19.7","13.4","6.3","5.2","1.8","Osthoff et al. (2009b)"
"25","Artiodactyla","Bovidae","Taurotragus oryx",393500,"8.64","6","28325",0.07,3,"herbivore","yes","terrestrial","11","30-60","21.9","9.9","6.3","4.4","1.44","Oftedal & Iverson (1995)"
"27","Artiodactyla","Camelidae","Camelus bactrianus",585000,"13.18","10.5","35000",0.06,3,"herbivore","yes","terrestrial","30","23-91","15.2","4.3","4.3*","-","-","Oftedal & Iverson (1995)"
"29","Artiodactyla","Cervidae","Alces alces",269000,"7.95","3.8","16794",0.06,2,"herbivore","no","terrestrial","15","i?","21.5","10","8.4","3","1.52","Oftedal & Iverson (1995)"
"31","Artiodactyla","Cervidae","Cervus canadensis nelsoni1",110000,"8.38 I","5.5P","6500I",0.06,2,"herbivore","no","terrestrial","28","14-77","19","6.7","5.7","4.2","1.11","Oftedal & Iverson (1995)"
