portion.black,age.years,population
0.21,1.1,Serengeti
0.14,1.5,Serengeti
0.11,1.9,Serengeti
0.2,1.9,Serengeti
0.1,1.9,Serengeti
0.15,1.9,Serengeti
0.27,1.9,Serengeti
0.22,2.1,Serengeti
0.13,2.2,Serengeti
0.23,2.4,Serengeti
0.12,2.6,Serengeti
0.26,2.8,Serengeti
0.18,2.9,Serengeti
0.13,3.2,Serengeti
0.12,3.2,Serengeti
0.29,3.4,Ngorogoro
0.21,3.6,Serengeti
0.42,3.8,Serengeti
0.1,4,Ngorogoro
0.43,4.2,Serengeti
0.3,4.3,Serengeti
0.59,5.4,Serengeti
0.5,5.4,Ngorogoro
0.6,5.8,Serengeti
0.72,6,Serengeti
0.37,7.1,Ngorogoro
0.34,7.1,Ngorogoro
0.48,7.3,Ngorogoro
0.44,7.3,Ngorogoro
0.34,7.8,Ngorogoro
0.79,8.8,Ngorogoro
0.74,13.1,Ngorogoro
