age.years,portion.black,population,sex
1.1,0.21,Serengeti,male
1.5,0.14,Serengeti,male
1.9,0.11,Serengeti,male
1.9,0.2,Serengeti,male
1.9,0.1,Serengeti,male
1.9,0.15,Serengeti,male
1.9,0.27,Serengeti,male
2.1,0.22,Serengeti,male
2.2,0.13,Serengeti,male
2.4,0.23,Serengeti,male
2.6,0.12,Serengeti,male
2.8,0.26,Serengeti,male
2.9,0.18,Serengeti,male
3.2,0.13,Serengeti,male
3.2,0.12,Serengeti,male
3.4,0.29,Ngorogoro,male
3.6,0.21,Serengeti,male
3.8,0.42,Serengeti,male
4,0.1,Ngorogoro,male
4.2,0.43,Serengeti,male
4.3,0.3,Serengeti,male
5.4,0.59,Serengeti,male
5.4,0.5,Ngorogoro,male
5.8,0.6,Serengeti,male
6,0.72,Serengeti,male
7.1,0.37,Ngorogoro,male
7.1,0.34,Ngorogoro,male
7.3,0.48,Ngorogoro,male
7.3,0.44,Ngorogoro,male
7.8,0.34,Ngorogoro,male
8.8,0.79,Ngorogoro,male
13.1,0.74,Ngorogoro,male
15.177778,0.9162011,Serengeti,female
13.533334,0.82402235,Serengeti,female
13.333333,0.9888268,Serengeti,female
12.844444,0.95530725,Serengeti,female
11.266666,0.8603352,Serengeti,female
10.444445,0.7905028,Serengeti,female
10.088889,0.9748603,Serengeti,female
9.9777775,0.94413406,Serengeti,female
10.044444,0.8882682,Serengeti,female
10.111111,0.8547486,Serengeti,female
10.088889,0.8296089,Serengeti,female
9.755555,0.6312849,Serengeti,female
8.666667,0.9972067,Serengeti,female
9.111111,1,Serengeti,female
9.511111,0.9050279,Serengeti,female
9.288889,0.89385474,Serengeti,female
9.088889,0.7932961,Serengeti,female
8.555555,0.83519554,Serengeti,female
8.133333,0.8435754,Serengeti,female
7.911111,0.75139666,Serengeti,female
8.288889,0.6843575,Serengeti,female
6.0444446,0.8519553,Serengeti,female
5.3777776,0.77374303,Serengeti,female
6.8444443,0.6955307,Serengeti,female
6.688889,0.68994415,Serengeti,female
6.7555556,0.622905,Serengeti,female
6.866667,0.5837989,Serengeti,female
6.6,0.53072625,Serengeti,female
6.8444443,0.46089387,Serengeti,female
7.5555553,0.39664805,Serengeti,female
5.7777777,0.622905,Serengeti,female
5.9333334,0.55586594,Serengeti,female
5.4444447,0.23743017,Serengeti,female
5.688889,0.349162,Serengeti,female
5.5333333,0.49720672,Serengeti,female
5.5666666,0.4706704,Serengeti,female
4.711111,0.47346368,Serengeti,female
4.766667,0.31564245,Serengeti,female
3.8888888,0.5223464,Serengeti,female
4.077778,0.5069832,Serengeti,female
4,0.4888268,Serengeti,female
4.2,0.4385475,Serengeti,female
3.8111112,0.38547486,Serengeti,female
4.177778,0.34357542,Serengeti,female
2.3888888,0.36173186,Serengeti,female
2.5555556,0.35335195,Serengeti,female
3.5777779,0.23603351,Serengeti,female
3.288889,0.20251396,Serengeti,female
3.3555555,0.14804469,Serengeti,female
2.8666666,0.08240224,Serengeti,female
2.8444445,0.21787709,Serengeti,female
2.0444446,0.2849162,Serengeti,female
2.488889,0.25,Serengeti,female
2.2555556,0.18994413,Serengeti,female
1.0666667,0.07122905,Serengeti,female
1.0555556,0.046089385,Serengeti,female
1.9222223,0.05586592,Serengeti,female
2.1555555,0.060055867,Serengeti,female
2.5222223,0.14106146,Serengeti,female
1.7444445,0.13547486,Serengeti,female
1.4,0.15223464,Serengeti,female
